Název souboru,Odkaz,Název,Kategorie
VY_32_INOVACE_31-03.pdf,https://drive.google.com/file/d/1yKh-8ZOEdtjcF5ZMkdIXPjEBZFXgJyEk/view?usp=drivesdk,Seznámení s relacemi,VYT
VY_32_INOVACE_39-20.pdf,https://drive.google.com/file/d/1nURhIzXK1Y3UHQYyd7IXv2OMMFcGUUQ7/view?usp=drivesdk,"Google - další možnosti (Blogger, překladač…)",VYT
VY_32_INOVACE_39-19.pdf,https://drive.google.com/file/d/1hWeavU7SvR_zNV_KFiCp8eWpvHKJNI5Y/view?usp=drivesdk,Sketch,VYT
VY_32_INOVACE_39-16.pdf,https://drive.google.com/file/d/1ijWHuCVB-IxMUFMKX5N5Yvr0keb_lkDo/view?usp=drivesdk,Web - naplnění,VYT
VY_32_INOVACE_32-13.pdf,https://drive.google.com/file/d/1Wxi9hINHD-SBCErFDou8cpjkJaudSNyn/view?usp=drivesdk,MS Access- složitější konverze dat,VYT
VY_32_INOVACE_39-14.pdf,https://drive.google.com/file/d/1R3vLZkT864RThHKVx3HfdT6srdMDS7FC/view?usp=drivesdk,Picasa a Piknic,VYT
VY_32_INOVACE_32-12.pdf,https://drive.google.com/file/d/15RGs1uVL1Uz4zUwT0j92sVSQSfMy2w8T/view?usp=drivesdk,MS Access - propojení relací s formuláři a sestavami,VYT
VY_32_INOVACE_32-11.pdf,https://drive.google.com/file/d/1FiZ8a93znwKvdKPpZWGWmCmjm9uQ2LE_/view?usp=drivesdk,MS Access - generování složitějších sestav,VYT
VY_32_INOVACE_39-12.pdf,https://drive.google.com/file/d/1Br-8XtKm6Bp1IEqHGOIRUyVFqbmMWGHj/view?usp=drivesdk,Dokumenty - formuláře,VYT
VY_32_INOVACE_32-10.pdf,https://drive.google.com/file/d/1tt1Gsh8lBDUcwwsAgyORs_fzJ6wCHMyf/view?usp=drivesdk,"MS Access - formuláře, podformuláře",VYT
